"celltype","p_value"
"border cells",0.0375992324026142
"root cap early",5.57862857385985e-175
"root cap tip",1.52701718383883e-58
"root cap lateral",2.21604203581098e-50
"columella",3.57952581095243e-57
"non-hair cells",3.49307707561919e-214
"epidermis early",0
"hair cells early",5.18599188111572e-286
"cortex ERS+",4.05708758067187e-98
"hair cells ERS+",3.05795142622974e-156
"hair cells ERS-",1.16886546378713e-36
"xpp ERS-",1.40452166780762e-56
"cortex ERS-",3.92459522581501e-05
"endodermis ERS-",0.0715744586868378
"endodermis ERS+",3.47939562110544e-151
"xpp ERS+",1.39465680698903e-239
"ppp ERS+",1.03446925449545e-136
"ppp ERS-",3.5786070479465e-24
"procambium ERS+",5.10789428961414e-112
"procambium ERS-",1.1056365265907e-21
"protophloem ERS-",0.00957654578708777
"metaphloem ERS-",1.84628903122052e-09
"protophloem ERS+",3.99612926231915e-21
"metaphloem ERS+",8.42172289406208e-88
"metaxylem ERS+",6.00480411495169e-150
"protoxylem early",2.03689138012064e-50
"protoxylem ERS-",0.00077846763816059
"metaxylem ERS-",8.82482469225855e-32
"protoxylem ERS+",6.9189587245412e-05
