"celltype","cell_count"
"border cells",504
"columella",397
"cortex ERS-",283
"cortex ERS+",319
"endodermis ERS-",507
"endodermis ERS+",770
"epidermis early",1179
"hair cells early",1024
"hair cells ERS-",223
"hair cells ERS+",916
"metaphloem ERS-",517
"metaphloem ERS+",498
"metaxylem ERS-",304
"metaxylem ERS+",327
"non-hair cells",1475
"ppp ERS-",530
"ppp ERS+",618
"procambium ERS-",865
"procambium ERS+",819
"protophloem ERS-",297
"protophloem ERS+",171
"protoxylem early",186
"protoxylem ERS-",217
"protoxylem ERS+",117
"root cap early",2213
"root cap lateral",2110
"root cap tip",1776
"xpp ERS-",977
"xpp ERS+",1388
